Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB
247.0,Keon Johnson,SG,20.0,9.0,-5.4,-0.4,-0.5,0.1419939577039275,0.1401869158878504,0.088
248.0,Stanley Johnson,SF,26.0,13.5,-1.0,0.1,0.7,0.175226586102719,0.205607476635514,0.256
249.0,Nikola Jokić,C,27.0,31.5,13.0,8.8,14.9,0.7401812688821752,0.9158878504672898,0.944
250.0,Carlik Jones,PG,25.0,11.1,-2.5,0.0,0.1,0.0876132930513595,0.0841121495327102,0.0559999999999999
251.0,Damian Jones,C,27.0,13.033333333333333,-1.7333333333333334,0.0,0.7999999999999999,0.10674723061430007,0.0373831775700934,0.24
252.0,Derrick Jones Jr.,PF,25.0,13.8,-0.4,0.3,2.4,0.1510574018126888,0.0467289719626168,0.192
253.0,Herbert Jones,PF,24.0,12.1,-0.3,0.8,4.2,0.2960725075528701,0.2336448598130841,0.3279999999999999
254.0,Kai Jones,C,22.0,10.8,-4.0,-0.3,0.7,0.1027190332326283,0.02803738317757,0.216
255.0,Tre Jones,PG,23.0,16.0,-1.0,0.5,3.4,0.3897280966767371,0.616822429906542,0.288
256.0,Tyus Jones,PG,26.0,16.0,1.6,1.7,5.7,0.311178247734139,0.485981308411215,0.2
257.0,DeAndre Jordan,C,34.0,14.7,-1.8,0.0,1.4,0.1540785498489426,0.0841121495327102,0.416
258.0,Cory Joseph,PG,31.0,12.1,-1.5,0.2,1.8,0.2084592145015106,0.3271028037383178,0.136
259.0,Nikola Jović,PF,19.0,10.6,-3.4,-0.1,0.2,0.1661631419939577,0.0654205607476635,0.168
260.0,Johnny Juzang,SG,21.0,6.5,-6.5,-0.3,-0.2,0.1450151057401812,0.0373831775700934,0.176
261.0,Mfiondu Kabengele,PF,25.0,8.1,-8.9,-0.1,0.1,0.0453172205438066,0.0,0.2
262.0,Frank Kaminsky,C,29.0,15.600000000000001,3.033333333333333,0.19999999999999998,0.4666666666666666,0.07049345417925473,0.08722741433021804,0.11733333333333328
263.0,Trevor Keels,SG,19.0,3.7,-13.0,0.0,0.0,0.0302114803625377,0.0,0.0559999999999999
264.0,Luke Kennard,SG,26.0,13.166666666666666,0.6666666666666666,0.5333333333333333,2.2666666666666666,0.2860020140986908,0.15264797507788155,0.21866666666666668
265.0,Walker Kessler,C,21.0,21.5,2.9,2.1,7.1,0.2779456193353474,0.0841121495327102,0.672
266.0,Braxton Key,SF,25.0,18.6,2.9,0.0,0.0,0.039274924471299,0.0,0.024
267.0,Louis King,PF,23.0,21.3,2.3,0.0,0.1,0.6042296072507553,0.1869158878504673,0.32
268.0,Corey Kispert,SF,23.0,11.5,-1.5,0.2,3.8,0.3353474320241691,0.1121495327102803,0.2239999999999999
269.0,Maxi Kleber,PF,31.0,8.7,-2.2,0.0,1.3,0.1782477341389728,0.1308411214953271,0.288
270.0,Nathan Knight,C,25.0,14.5,-3.2,-0.1,0.7,0.1117824773413897,0.02803738317757,0.12
271.0,Kevin Knox,PF,23.0,12.4,-4.6,-0.2,0.1,0.2567975830815709,0.0841121495327102,0.264
271.0,Kevin Knox,SF,23.0,10.3,-2.8,-0.1,0.5,0.1691842900302114,0.0373831775700934,0.208
271.0,Kevin Knox,SF-PF,23.0,11.1,-3.5,-0.4,0.7,0.1993957703927492,0.0467289719626168,0.2239999999999999
272.0,Christian Koloko,C,22.0,11.4,-3.5,-0.3,1.7,0.093655589123867,0.0467289719626168,0.2319999999999999
273.0,John Konchar,SF,26.0,10.8,0.5,0.9,3.5,0.1540785498489426,0.1308411214953271,0.344
274.0,Furkan Korkmaz,SG,25.0,9.3,-4.4,-0.2,0.1,0.1148036253776434,0.0560747663551401,0.088
275.0,Luke Kornet,C,27.0,16.7,1.0,0.6,3.3,0.1148036253776434,0.0747663551401869,0.2319999999999999
276.0,Vit Krejci,PG,22.0,7.7,-3.6,-0.1,0.1,0.0362537764350453,0.0560747663551401,0.072
277.0,Jonathan Kuminga,PF,20.0,13.3,-1.7,0.1,2.4,0.2990936555891239,0.1775700934579439,0.272
278.0,Kyle Kuzma,PF,27.0,14.3,-1.7,0.2,0.9,0.6404833836858006,0.3457943925233645,0.5760000000000001
