Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP
417.0,Orlando Robinson,C,22.0,13.4,-2.1,0.0,1.1,0.1117824773413897,0.0747663551401869,0.3279999999999999,0.1457269663296292
418.0,Jeremiah Robinson-Earl,PF,22.0,13.0,-1.5,0.1,1.9,0.2054380664652567,0.0934579439252336,0.336,0.2772716654987152
419.0,Isaiah Roby,PF,24.0,9.3,-4.6,-0.3,-0.1,0.1238670694864048,0.0841121495327102,0.2,0.1612774051456602
420.0,David Roddy,PF,21.0,8.8,-3.9,-0.6,1.1,0.202416918429003,0.0747663551401869,0.2239999999999999,0.4251343144125205
421.0,Ryan Rollins,PG,20.0,-1.4,-15.0,-0.2,-0.3,0.0574018126888217,0.0467289719626168,0.08,0.0217572663262922
422.0,Derrick Rose,PG,34.0,10.1,-3.7,-0.1,0.0,0.1691842900302114,0.1588785046728972,0.12,0.1162945907164547
423.0,Terrence Ross,SG,31.0,11.0,-1.5666666666666667,-0.033333333333333326,1.0666666666666667,0.2547834843907351,0.14953271028037382,0.20533333333333334,0.302110098886553
425.0,Ricky Rubio,PG,32.0,10.4,-2.8,-0.1,0.7,0.1570996978851963,0.3271028037383178,0.168,0.1939466746754763
427.0,Matt Ryan,SF,25.0,7.766666666666666,-3.6,-0.06666666666666667,0.19999999999999998,0.10976837865055382,0.0404984423676012,0.06666666666666667,0.0714230097551751
429.0,Luka Šamanić,PF,23.0,11.0,-2.1,0.0,0.2,0.2990936555891239,0.1962616822429906,0.344,0.0607334734875029
430.0,Dario Šarić,C,28.0,15.9,-0.2,0.1,0.7,0.2235649546827794,0.0841121495327102,0.264,0.095004504955451
430.0,Dario Šarić,PF,28.0,12.3,-2.0,0.0,0.9,0.175226586102719,0.1401869158878504,0.304,0.1820002002202422
430.0,Dario Šarić,PF-C,28.0,13.5,-1.4,0.1,1.7,0.1933534743202417,0.1214953271028037,0.288,0.2730003003303634
431.0,Olivier Sarr,C,23.0,11.5,-4.9,-0.1,0.2,0.120845921450151,0.0373831775700934,0.272,0.0416124403510528
433.0,Admiral Schofield,PF,25.0,10.1,-2.9,-0.1,0.8,0.1268882175226586,0.0747663551401869,0.136,0.1539026262221777
435.0,Jay Scrubb,SG,22.0,14.2,-1.9,0.0,0.1,0.1963746223564954,0.0467289719626168,0.24,0.014349117362432
439.0,Landry Shamet,SG,25.0,10.9,-1.4,0.1,1.2,0.2628398791540785,0.2149532710280373,0.136,0.2753695731971836
441.0,Shaedon Sharpe,SG,19.0,11.5,-3.3,-0.6,1.2,0.2990936555891239,0.1121495327102803,0.24,0.6003937664764575
445.0,Kobi Simmons,SG,25.0,9.0,-0.9,0.0,0.0,0.0302114803625377,0.0934579439252336,0.064,0.0105449327593686
446.0,Marko Simonovic,C,23.0,-0.1,-14.4,-0.1,0.0,0.0271903323262839,0.0,0.024,0.0069743384389495
448.0,Jericho Sims,C,24.0,13.8,-0.5,0.3,2.6,0.1027190332326283,0.0467289719626168,0.376,0.2755030533586945
