Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
354.0,Kenyon Martin Jr.,SF,21.0,14.3,-1.2,0.4,2.9,0.2875816993464052,0.1203703703703703,0.2585034013605442,0.5802272412359706,0.268,-7.62
355.0,Garrison Mathews,SG,25.0,11.0,-2.3,-0.1,2.8,0.326797385620915,0.0925925925925925,0.1972789115646258,0.6014618262435915,0.268,-7.62
357.0,Wesley Matthews,SG,35.0,6.9,-3.3,-0.3,1.2,0.1666666666666666,0.0648148148148148,0.1292517006802721,0.353470971317722,0.707,3.61
358.0,Tyrese Maxey,PG,21.0,16.2,0.6,1.8,7.3,0.5718954248366013,0.3981481481481481,0.217687074829932,0.9295067202438686,0.659,4.37
359.0,Skylar Mays,SG,24.0,11.7,-2.0,0.0,0.3,0.0947712418300653,0.0555555555555555,0.0612244897959183,0.0782527365941526,0.5,0.32
360.0,Miles McBride,PG,21.0,6.1,-4.5,-0.2,0.2,0.0718954248366013,0.0925925925925925,0.0748299319727891,0.1313911597616738,0.573,2.99
362.0,CJ McCollum,SG,30.0,18.85,2.3499999999999996,1.1,1.8,0.7320261437908496,0.47685185185185175,0.29931972789115646,0.38277677705417756,0.457,-1.165
363.0,T.J. McConnell,PG,29.0,15.1,0.9,0.5,1.3,0.2777777777777778,0.4537037037037037,0.2244897959183673,0.2335111542192046,0.427,-2.91
364.0,Jaden McDaniels,PF,21.0,10.3,-2.9,-0.4,2.4,0.3006535947712418,0.1018518518518518,0.2857142857142857,0.6328114174864902,0.512,-0.22
365.0,Jalen McDaniels,SF,24.0,12.7,-2.3,-0.1,1.7,0.2026143790849673,0.1018518518518518,0.2108843537414966,0.3149854510184287,0.329,-5.89
366.0,Doug McDermott,PF,30.0,11.4,-2.5,-0.1,1.6,0.369281045751634,0.1203703703703703,0.1564625850340136,0.4312733822918109,0.268,-9.82
367.0,JaVale McGee,C,34.0,22.6,0.8,0.8,4.9,0.3006535947712418,0.0555555555555555,0.4557823129251701,0.4107662463627545,0.549,2.08
369.0,Rodney McGruder,SG,30.0,11.6,-1.4,0.1,1.2,0.1764705882352941,0.0833333333333333,0.1496598639455782,0.2656228349729804,0.207,-7.73
370.0,Alfonzo McKinnie,SF,29.0,5.6,-9.0,-0.4,-0.1,0.1143790849673202,0.0277777777777777,0.1292517006802721,0.0748579742275183,0.488,1.37
372.0,Jordan McLaughlin,PG,25.0,13.4,0.4,0.6,2.3,0.1241830065359477,0.2685185185185185,0.1020408163265306,0.3167867534986836,0.512,-0.22
373.0,Ben McLemore,SG,28.0,11.7,-3.2,-0.4,0.8,0.3333333333333333,0.0833333333333333,0.108843537414966,0.4513994734654288,0.402,-3.96
374.0,De'Anthony Melton,SG,23.0,15.2,1.9,1.6,3.7,0.3529411764705882,0.25,0.3061224489795918,0.5811625329084107,0.622,3.6
376.0,Chimezie Metu,C,24.0,13.4,-1.5,0.2,1.5,0.2908496732026144,0.0925925925925925,0.3809523809523809,0.4497367327144242,0.585,2.3
377.0,Khris Middleton,SF,30.0,18.1,1.6,1.9,5.3,0.6568627450980392,0.5,0.3673469387755102,0.7521823472356934,0.707,3.61
379.0,Patty Mills,SG,33.0,10.4,-1.7,0.2,2.8,0.3725490196078431,0.2129629629629629,0.1292517006802721,0.8220174587778855,0.549,1.03
380.0,Paul Millsap,C,36.0,11.2,-3.1,-0.1,0.4,0.1111111111111111,0.0925925925925925,0.2517006802721088,0.0967507274490785,0.549,1.03
