Antecedent,Consequent,Support,Confidence,Lift
"('Jae Crowder_VORP<5', 'Jae Crowder_WS<5')","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15')",0,1.0,0
"('Jae Crowder_PER<15', 'Jae Crowder_WS<5')","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_VORP<5')",0,1.0,0
"('Jae Crowder_0<=BPM<5', 'Jae Crowder_PER<15', 'Jae Crowder_VORP<5')","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_0<=BPM<5', 'Jae Crowder_PER<15', 'Jae Crowder_WS<5')","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_VORP<5')",0,1.0,0
"('Jae Crowder_0<=BPM<5', 'Jae Crowder_VORP<5', 'Jae Crowder_WS<5')","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15')",0,1.0,0
"('Jae Crowder_PER<15', 'Jae Crowder_VORP<5', 'Jae Crowder_WS<5')","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75',)","('Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15', 'Jae Crowder_VORP<5', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_VORP<5')","('Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_WS<5')","('Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15', 'Jae Crowder_VORP<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5')","('Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15', 'Jae Crowder_VORP<5', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_PER<15')","('Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_VORP<5', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_VORP<5')","('Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_WS<5')","('Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15', 'Jae Crowder_VORP<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_VORP<5', 'Jae Crowder_WS<5')","('Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_PER<15', 'Jae Crowder_VORP<5')","('Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_PER<15', 'Jae Crowder_WS<5')","('Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_VORP<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_PER<15')","('Jae Crowder_0<=SRS<5', 'Jae Crowder_VORP<5', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_PER<15', 'Jae Crowder_VORP<5')","('Jae Crowder_0<=SRS<5', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_PER<15', 'Jae Crowder_WS<5')","('Jae Crowder_0<=SRS<5', 'Jae Crowder_VORP<5')",0,1.0,0
