Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (DecisionTree),Predicted Trade Value (RandomForest),Predicted Trade Value (GradientBoosting),Predicted WLp (DecisionTree),Predicted WLp (RandomForest),Predicted WLp (GradientBoosting),Predicted SRS (DecisionTree),Predicted SRS (RandomForest),Predicted SRS (GradientBoosting)
313,Garrison Mathews,SG,26,9.1,-2.5,-0.1,0.7,0.145015106,0.046728972,0.112,0.213282337,0.268,-7.62,-0.800711584,-0.492261052,-0.476852008,-0.466157347,0.500747852,0.50146367,0.506526353,0.054269759,0.07064454,0.293479083
270,Nathan Knight,C,25,14.5,-3.2,-0.1,0.7,0.111782477,0.028037383,0.12,0.103164117,0.512,-0.22,-0.754735899,-0.531883792,-0.47711171,-0.477622967,0.508199225,0.507789807,0.506006753,0.308763566,0.295673654,0.169151186
400,Payton Pritchard,PG,25,10.3,-3.4,-0.2,0.6,0.16918429,0.121495327,0.144,0.227538248,0.695,6.38,-0.740371444,-0.586177779,-0.481040438,-0.435167628,0.508199225,0.507789807,0.505832437,0.308763566,0.295673654,-0.01887161
499,Duane Washington Jr.,SG,22,9.3,-4.6,-0.3,-0.5,0.238670695,0.186915888,0.096,0.140716273,0.549,2.08,-0.866154258,-0.554020188,-0.486734799,-0.526790883,0.501837292,0.502055693,0.517611702,0.104802059,0.108047752,-0.382851857
422,Derrick Rose,PG,34,10.1,-3.7,-0.1,0,0.16918429,0.158878505,0.12,0.121175243,0.573,2.99,-0.87224482,-0.488851165,-0.48781689,-0.463008688,0.492780797,0.491827704,0.523090996,-0.254981884,-0.302217811,-0.01887161
174,A.J. Green,SG,23,11.5,-0.9,0.1,0.8,0.132930514,0.056074766,0.104,0.122705146,0.707,3.61,-0.658186683,-0.515545695,-0.48849552,-0.429982105,0.504676727,0.504578297,0.50321193,0.217796781,0.214176249,0.180733291
377,Eugene Omoruyi,SF,25,10.9,-4.5,-0.2,0.3,0.220543807,0.070093458,0.232,0.117298331,0.3475,-3.385,-0.786221135,-0.519313527,-0.496314649,-0.546149851,0.508199225,0.507789807,0.510619747,0.308763566,0.295673654,0.276290247
216,Richaun Holmes,C,29,12.9,-2.9,-0.1,0.8,0.093655589,0.018691589,0.152,0.123191933,0.585,2.3,-0.79027825,-0.555120246,-0.502674125,-0.554466752,0.503932624,0.504477885,0.509695611,0.109143026,0.122744987,0.140500398
480,P.J. Tucker,PF,37,5.7,-3,-0.5,2.5,0.105740181,0.074766355,0.312,0.675799722,0.659,4.37,-0.619718043,-0.604394268,-0.505625594,-0.344824468,0.462916667,0.463911269,0.448797278,-1.46,-1.451458185,0.010610273
318,Miles McBride,PG,22,8.4,-2.3,-0.1,0.7,0.105740181,0.102803738,0.064,0.267698192,0.573,2.99,-0.784472081,-0.517010911,-0.508483522,-0.489857127,0.501837292,0.502055693,0.501359174,0.104802059,0.108047752,0.010610273
