Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
89,Alex Caruso,PG,23,LAL,0.4444444444444444,0.08536585365853659,0.13333333333333333,0.14691943127962084,.431,0.09523809523809523,0.12,.302,0.10309278350515465,0.11560693641618497,.507,.487,0.06896551724137931,0.07920792079207921,0.7,0.07843137254901962,0.12844036697247704,0.1125,0.1941747572815534,0.25,0.11538461538461538,0.22000000000000003,0.35,0.11842105263157895,8.7,.519,.371,.259,2.9,9.4,6.2,17.8,2.0,1.4,24.5,12.9,-0.1,0.6,0.5,.041,-3.8,0.9,-2.9,-0.1,0.18791858603678657,0.524,0.43
90,Omri Casspi,SF,29,GSW,0.6419753086419753,0.08536585365853659,0.21904761904761902,0.1848341232227488,.580,0.047619047619047616,0.04,.455,0.21649484536082478,0.20231213872832368,.595,.604,0.10344827586206898,0.12871287128712872,0.725,0.11764705882352941,0.29357798165137616,0.2375,0.0970873786407767,0.125,0.15384615384615385,0.13999999999999999,0.325,0.18750000000000003,15.5,.632,.106,.333,4.9,24.0,15.1,9.5,1.2,2.0,13.5,16.3,1.2,1.0,2.2,.141,-0.9,0.0,-0.9,0.2,0.24567937534712012,0.537,1.66
92,Tyler Cavanaugh,PF,23,ATL,0.4691358024691358,0.012195121951219513,0.1619047619047619,0.1848341232227488,.441,0.19047619047619047,0.22999999999999998,.360,0.09278350515463918,0.09248554913294797,.556,.546,0.04597701149425288,0.04950495049504951,0.81,0.23529411764705882,0.1926605504587156,0.20625,0.06796116504854369,0.08333333333333334,0.038461538461538464,0.08,0.4,0.15460526315789475,13.0,.567,.586,.138,9.7,17.7,13.7,7.8,0.8,0.7,8.0,14.8,0.9,0.3,1.2,.109,-0.4,-1.5,-1.9,0.0,0.1729229965042961,0.5,0.32
93,Mario Chalmers,PG,31,MEM,0.8024691358024691,0.12195121951219512,0.23809523809523808,0.3175355450236967,.379,0.19047619047619047,0.29,.277,0.1752577319587629,0.21965317919075142,.456,.439,0.20689655172413796,0.20792079207920794,0.855,0.03921568627450981,0.2018348623853211,0.15,0.2912621359223301,0.5,0.07692307692307693,0.36,0.675,0.25328947368421056,10.4,.503,.431,.312,1.0,12.0,6.4,21.5,2.8,0.9,18.8,19.6,-0.6,1.3,0.6,.021,-3.7,0.5,-3.2,-0.4,0.4706132183344768,0.622,3.6
95,Wilson Chandler,SF,30,DEN,0.9012345679012346,0.8658536585365854,0.3619047619047619,0.4028436018957346,.445,0.2857142857142857,0.32999999999999996,.358,0.2680412371134021,0.30057803468208094,.501,.515,0.13793103448275862,0.1485148514851485,0.772,0.27450980392156865,0.36697247706422015,0.3375,0.20388349514563106,0.25,0.1923076923076923,0.24,0.525,0.32894736842105265,10.9,.542,.390,.181,4.9,14.1,9.6,9.4,0.9,1.4,11.9,14.3,2.1,1.2,3.3,.067,-1.0,-1.1,-2.1,-0.1,0.776144271292757,0.646,3.04
97,Ian Clark,SG,26,NOP,0.9012345679012346,0.024390243902439025,0.2857142857142857,0.3175355450236967,.448,0.19047619047619047,0.26,.318,0.22680412371134023,0.23699421965317916,.533,.511,0.06896551724137931,0.07920792079207921,0.763,0.019607843137254905,0.14678899082568808,0.10625,0.14563106796116504,0.16666666666666669,0.038461538461538464,0.16,0.4,0.24342105263157898,9.4,.529,.394,.119,0.8,8.4,4.7,10.4,1.1,0.5,9.9,17.2,0.3,0.8,1.1,.037,-2.7,-0.8,-3.5,-0.6,0.4811330000980104,0.512,1.63
98,Jordan Clarkson,SG,25,LAL,0.6419753086419753,0.024390243902439025,0.5333333333333333,0.5971563981042654,.448,0.30952380952380953,0.4,.324,0.45360824742268047,0.49710982658959535,.505,.499,0.2298850574712644,0.24752475247524752,0.795,0.15686274509803924,0.2018348623853211,0.1875,0.3203883495145631,0.2916666666666667,0.038461538461538464,0.36,0.3,0.4769736842105263,16.9,.532,.315,.198,3.8,9.7,6.7,22.9,1.5,0.2,11.6,27.7,1.1,1.0,2.1,.080,1.9,-1.1,0.8,0.9,0.41742624718220134,0.524,0.43
98,Jordan Clarkson,SG,25,CLE,0.3333333333333333,0.0,0.44761904761904764,0.4881516587677725,.456,0.38095238095238093,0.39,.407,0.3195876288659794,0.3699421965317919,.486,.533,0.19540229885057472,0.20792079207920794,0.81,0.09803921568627452,0.14678899082568808,0.13125,0.16504854368932037,0.2916666666666667,0.038461538461538464,0.22000000000000003,0.4,0.4144736842105263,15.4,.565,.376,.202,2.3,7.9,5.1,12.0,1.5,0.4,9.3,24.1,0.8,0.2,1.0,.073,0.5,-1.8,-1.3,0.1,0.2132052664249077,0.622,5.23
99,Gian Clavell,SG,24,DAL,0.07407407407407407,0.0,0.08571428571428572,0.12322274881516587,.333,0.21428571428571427,0.21000000000000002,.400,0.0,0.023121387283236993,.000,.500,0.034482758620689655,0.0297029702970297,1.0,0.019607843137254905,0.08256880733944955,0.0625,0.038834951456310676,0.125,0.0,0.06,0.275,0.09539473684210527,7.4,.530,.833,.111,1.7,10.8,6.1,6.7,1.6,0.0,9.6,14.8,0.0,0.0,0.1,.042,-2.7,0.5,-2.2,0.0,0.023228462216995,0.463,-0.14
100,Antonius Cleveland,SG,23,DAL,0.14814814814814814,0.0,0.02857142857142857,0.05213270142180095,.286,0.0,0.01,.000,0.030927835051546393,0.057803468208092484,.308,.286,0.02298850574712644,0.0297029702970297,0.5,0.03921568627450981,0.055045871559633024,0.05,0.019417475728155338,0.20833333333333334,0.11538461538461538,0.04,0.2,0.026315789473684213,5.1,.317,.071,.286,2.6,11.4,6.9,3.3,3.7,4.4,11.3,10.0,-0.1,0.1,0.0,-0.005,-7.3,4.0,-3.3,0.0,0.027834950504753504,0.463,-0.14
