Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP
328,Frank Mason III,PG,24,SAC,0.4567901234567901,0.0,0.1759259259259259,0.1795918367346939,.420,0.07843137254901962,0.12878787878787878,.219,0.16129032258064516,0.16969696969696968,.543,.462,0.10309278350515465,0.13636363636363635,0.684,0.037037037037037035,0.0900900900900901,0.07051282051282053,0.20560747663551404,0.16666666666666669,0.037037037037037035,0.18,0.225,0.1412742382271468,12.4,.502,.379,.337,1.4,9.0,5.1,26.3,1.7,0.8,15.6,21.8,0.0,0.3,0.3,.033,-1.9,-1.3,-3.1,-0.1,0.14509125338731266
329,Yante Maten,PF,22,MIA,0.012345679012345678,0.0,0.046296296296296294,0.08163265306122448,.250,0.0,0.03787878787878788,.000,0.05376344086021505,0.09090909090909091,.333,.250,0.0,0.0,0.0,0.09259259259259259,0.0900900900900901,0.09615384615384616,0.0,0.20833333333333334,0.0,0.0,0.0,0.027700831024930747,5.7,.250,.250,.000,8.2,16.4,12.3,0.0,3.8,0.0,0.0,13.2,0.0,0.0,0.0,-0.026,-7.5,-1.6,-9.1,0.0,0.005713539456071044
330,Wesley Matthews,SF-SG,32,TOT,0.8395061728395061,0.8292682926829268,0.37037037037037035,0.4122448979591837,.400,0.4313725490196079,0.4393939393939394,.372,0.2043010752688172,0.2606060606060606,.437,.507,0.1958762886597938,0.21818181818181817,0.81,0.09259259259259259,0.1801801801801802,0.16025641025641027,0.21495327102803738,0.33333333333333337,0.07407407407407407,0.26,0.575,0.3379501385041551,10.3,.546,.577,.234,1.7,7.1,4.4,11.1,1.3,0.7,10.6,17.8,1.1,1.5,2.7,.062,-1.4,-0.5,-1.8,0.1,0.6919259525286494
330,Wesley Matthews,SF,32,DAL,0.5308641975308642,0.5365853658536586,0.40740740740740744,0.436734693877551,.414,0.45098039215686275,0.4545454545454546,.380,0.22580645161290322,0.28484848484848485,.456,.520,0.2061855670103093,0.22727272727272727,0.791,0.09259259259259259,0.17117117117117117,0.14743589743589744,0.21495327102803738,0.33333333333333337,0.1111111111111111,0.26,0.575,0.3628808864265928,11.3,.556,.561,.235,1.6,6.6,4.2,11.6,1.2,0.8,10.1,18.9,1.0,0.8,1.8,.066,-0.8,-0.5,-1.3,0.2,0.4374285807567991
330,Wesley Matthews,SG,32,NYK,0.012345679012345678,0.012195121951219513,0.18518518518518517,0.3877551020408163,.211,0.19607843137254904,0.3787878787878788,.200,0.1075268817204301,0.2727272727272727,.222,.263,0.2061855670103093,0.22727272727272727,0.8,0.09259259259259259,0.0900900900900901,0.09615384615384616,0.23364485981308414,0.20833333333333334,0.18518518518518517,0.2,0.25,0.19390581717451522,2.9,.330,.526,.263,1.9,4.0,2.9,12.9,0.9,1.6,8.6,18.4,-0.1,0.0,-0.1,-0.115,-5.3,-1.3,-6.6,-0.1,0.025792549544549282
330,Wesley Matthews,SG,32,IND,0.2716049382716049,0.2804878048780488,0.32407407407407407,0.37142857142857144,.386,0.411764705882353,0.4318181818181819,.369,0.15053763440860213,0.21212121212121213,.413,.500,0.18556701030927836,0.19090909090909092,0.854,0.09259259259259259,0.2072072072072072,0.1794871794871795,0.22429906542056074,0.375,0.07407407407407407,0.26,0.6,0.30193905817174516,9.2,.543,.619,.229,1.7,8.1,5.0,10.1,1.3,0.5,11.8,15.8,0.3,0.7,1.0,.067,-2.0,-0.4,-2.4,-0.1,0.24633517254889156
331,Luc Mbah a Moute,PF,32,LAC,0.037037037037037035,0.0,0.18518518518518517,0.1836734693877551,.444,0.09803921568627452,0.11363636363636365,.333,0.16129032258064516,0.18181818181818182,.500,.500,0.051546391752577324,0.11818181818181818,0.4,0.09259259259259259,0.11711711711711713,0.11538461538461539,0.04672897196261683,0.125,0.1111111111111111,0.1,0.5,0.13850415512465372,6.7,.495,.333,.278,3.6,8.4,6.1,4.5,0.8,1.3,9.0,15.4,0.0,0.0,0.0,.009,-2.9,0.0,-3.0,0.0,0.02425805609063306
332,Tahjere McCall,SG,24,BRK,0.0,0.0,0.18518518518518517,0.12244897959183673,.667,0.0,0.07575757575757576,.000,0.2150537634408602,0.12121212121212122,1.000,.667,0.0,0.09090909090909091,0.0,0.0,0.0900900900900901,0.06410256410256411,0.0,0.0,0.0,0.0,0.5,0.11080332409972299,9.6,.581,.333,.333,0.0,13.1,6.6,0.0,0.0,0.0,0.0,18.1,0.0,0.0,0.0,.055,-6.0,-0.6,-6.6,0.0,0.004570831564856835
333,Patrick McCaw,SG,23,TOT,0.345679012345679,0.012195121951219513,0.08333333333333333,0.08979591836734695,.413,0.058823529411764705,0.07575757575757576,.321,0.06451612903225806,0.07272727272727272,.486,.484,0.04123711340206186,0.045454545454545456,0.867,0.037037037037037035,0.12612612612612611,0.10897435897435898,0.09345794392523366,0.33333333333333337,0.037037037037037035,0.12,0.325,0.07202216066481995,7.5,.532,.444,.238,2.0,10.9,6.5,9.2,2.8,0.4,19.6,9.4,0.0,0.5,0.5,.065,-4.8,1.9,-3.0,-0.1,0.13343563289692775
333,Patrick McCaw,SG,23,CLE,0.024691358024691357,0.0,0.06481481481481481,0.12244897959183673,.222,0.058823529411764705,0.0984848484848485,.250,0.03225806451612903,0.10303030303030303,.200,.278,0.0,0.0,0.0,0.0,0.0900900900900901,0.06410256410256411,0.06542056074766354,0.2916666666666667,0.0,0.2,0.075,0.047091412742382266,-0.7,.278,.444,.000,0.0,6.6,3.1,4.9,1.9,0.0,25.0,9.9,-0.2,0.0,-0.2,-0.137,-7.8,-3.2,-11.0,-0.1,0.022429723464690327
