Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
452,Jonathon Simmons,SG,28,ORL,0.8395061728395061,0.6097560975609756,0.48571428571428565,0.5213270142180094,.465,0.23809523809523808,0.3,.338,0.422680412371134,0.46820809248554907,.512,.511,0.31034482758620696,0.34653465346534656,0.768,0.17647058823529413,0.23853211009174313,0.21875,0.24271844660194172,0.33333333333333337,0.07692307692307693,0.42000000000000004,0.625,0.45723684210526316,12.7,.555,.268,.317,3.3,9.7,6.5,13.3,1.4,0.6,14.4,22.0,0.8,1.1,1.9,.045,-1.7,-1.3,-3.1,-0.5,0.6718285471593323,0.415,-2.39
453,Kobi Simmons,PG,20,MEM,0.38271604938271603,0.14634146341463414,0.23809523809523808,0.2796208530805687,.423,0.07142857142857142,0.12,.282,0.22680412371134023,0.27167630057803466,.460,.452,0.09195402298850576,0.07920792079207921,1.0,0.07843137254901962,0.10091743119266056,0.1,0.20388349514563106,0.25,0.07692307692307693,0.27999999999999997,0.475,0.2006578947368421,7.7,.490,.206,.132,2.5,6.6,4.5,16.5,1.4,0.7,18.0,17.0,-0.4,0.2,-0.2,-0.013,-4.7,-2.1,-6.9,-0.8,0.21598222744944298,0.622,3.6
454,Kyle Singler,SF,29,OKC,0.13580246913580246,0.0,0.05714285714285714,0.08530805687203791,.333,0.047619047619047616,0.04,.400,0.04123711340206186,0.07514450867052024,.313,.381,0.06896551724137931,0.10891089108910892,0.538,0.019607843137254905,0.07339449541284404,0.05,0.019417475728155338,0.04166666666666667,0.0,0.06,0.075,0.0625,5.9,.430,.238,.619,1.8,17.5,9.4,4.8,0.8,0.0,10.1,21.6,-0.1,0.0,0.0,-0.031,-5.0,-1.6,-6.7,-0.1,0.02022281028455683,0.488,0.96
455,Marcus Smart,SG,23,BOS,0.654320987654321,0.13414634146341464,0.3333333333333333,0.45023696682464454,.367,0.3333333333333333,0.45999999999999996,.301,0.21649484536082478,0.2832369942196532,.429,.440,0.20689655172413796,0.24752475247524752,0.729,0.15686274509803924,0.24770642201834864,0.21875,0.4660194174757281,0.5416666666666667,0.15384615384615385,0.48,0.625,0.3355263157894737,10.8,.479,.483,.258,3.0,9.8,6.4,23.7,2.2,1.2,18.4,19.4,-0.6,2.5,1.9,.056,-2.1,1.0,-1.2,0.3,0.5364108595511125,0.695,6.38
456,Dennis Smith Jr.,PG,20,DAL,0.8395061728395061,0.8414634146341463,0.5619047619047619,0.7014218009478673,.395,0.35714285714285715,0.49000000000000005,.313,0.443298969072165,0.5722543352601156,.435,.446,0.21839080459770116,0.2772277227722772,0.694,0.13725490196078433,0.27522935779816515,0.2375,0.5048543689320388,0.4166666666666667,0.11538461538461538,0.5599999999999999,0.55,0.5,12.8,.473,.331,.188,2.6,11.8,7.0,29.5,1.7,0.8,14.9,28.9,-2.4,1.7,-0.7,-0.017,-1.2,-1.2,-2.4,-0.2,0.6784605834885163,0.463,-0.14
457,Ish Smith,PG,29,DET,1.0,0.4268292682926829,0.44761904761904764,0.46445497630331756,.486,0.09523809523809523,0.12,.347,0.443298969072165,0.4913294797687861,.506,.507,0.1149425287356322,0.1386138613861386,0.698,0.058823529411764705,0.2201834862385321,0.16875,0.4271844660194175,0.33333333333333337,0.07692307692307693,0.26,0.425,0.3585526315789474,15.4,.525,.126,.145,1.4,10.9,6.1,28.4,1.6,0.9,11.2,20.8,2.4,2.0,4.4,.102,-0.3,0.3,0.0,1.0,0.6749322094808716,0.207,-7.73
458,J.R. Smith,SG,32,CLE,0.9753086419753086,0.7439024390243902,0.2857142857142857,0.35071090047393366,.403,0.42857142857142855,0.48,.375,0.12371134020618557,0.15606936416184972,.453,.524,0.0574712643678161,0.0693069306930693,0.696,0.07843137254901962,0.23853211009174313,0.18125,0.17475728155339806,0.375,0.038461538461538464,0.2,0.5,0.27302631578947373,8.4,.534,.640,.094,1.5,10.1,5.9,8.6,1.5,0.4,11.6,13.8,0.6,0.9,1.4,.031,-2.1,-0.9,-3.0,-0.6,0.7416446143291189,0.622,5.23
459,Jason Smith,C,31,WAS,0.3950617283950617,0.024390243902439025,0.13333333333333333,0.16587677725118483,.391,0.023809523809523808,0.1,.125,0.12371134020618557,0.1445086705202312,.494,.409,0.06896551724137931,0.0594059405940594,0.905,0.09803921568627452,0.10091743119266056,0.1,0.038834951456310676,0.04166666666666667,0.15384615384615385,0.1,0.325,0.1118421052631579,8.8,.455,.278,.183,7.2,13.9,10.5,7.4,0.5,4.0,11.4,21.7,-0.2,0.3,0.0,.003,-5.4,-1.0,-6.4,-0.3,0.09526609820640988,0.427,-1.06
460,Josh Smith,PF,32,NOP,0.024691358024691357,0.0,0.02857142857142857,0.061611374407582936,.250,0.0,0.0,0,0.030927835051546393,0.07514450867052024,.250,.250,0.0,0.0,0.0,0.19607843137254904,0.027522935779816512,0.08125,0.0,0.0,0.0,0.0,0.25,0.023026315789473683,3.5,.250,.000,.000,28.1,8.7,18.1,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,-0.013,-8.4,-6.2,-14.6,0.0,0.004573818158058088,0.512,1.63
461,Tony Snell,SG,26,MIL,0.9135802469135802,0.7195121951219512,0.23809523809523808,0.27014218009478674,.435,0.3333333333333333,0.36,.403,0.10309278350515465,0.12138728323699421,.490,.562,0.0574712643678161,0.0594059405940594,0.792,0.019607843137254905,0.1651376146788991,0.11875,0.1262135922330097,0.25,0.15384615384615385,0.1,0.375,0.22697368421052633,8.5,.578,.631,.113,0.5,7.5,4.0,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,.056,-1.5,-0.8,-2.3,-0.1,0.6790159756934235,0.707,3.61
