Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP
James Bouknight,SG,52.0,22.0,0.4024390243902439,0.0,0.1785714285714285,0.2567567567567568,0.358,0.2040816326530612,0.2807017543859649,0.303,0.1047619047619047,0.1404494382022471,0.429,0.443,0.06,0.073170731707317,0.667,0.0392156862745098,0.1979166666666666,0.168,0.1121495327102803,0.1333333333333333,0.0333333333333333,0.2195121951219512,0.2799999999999999,0.1691842900302114,6.2,0.463,0.565,0.155,1.6,13.5,7.5,11.1,1.3,0.8,13.4,19.5,-0.8,0.4,-0.4,-0.04,-5.4,-1.1,-6.5,-0.6,0.1762271832348917
Jamaree Bouyea,PG,53.0,23.0,0.04268292682926825,0.0,0.12053571428571425,0.13738738738738734,0.4455,0.0918367346938775,0.1096491228070175,0.36650000000000005,0.0857142857142857,0.10112359550561795,0.5,0.519,0.025,0.0365853658536585,0.5,0.04901960784313725,0.1041666666666666,0.1,0.08411214953271025,0.29999999999999993,0.14999999999999997,0.2195121951219512,0.25,0.10271903323262829,7.15,0.522,0.40700000000000003,0.1485,1.65,7.95,4.7,8.2,2.95,3.0,21.799999999999997,12.0,-0.1,0.1,0.0,0.021,-5.35,1.75,-3.55,0.0,0.0271131578069209
Tony Bradley,C,54.0,25.0,0.1341463414634146,0.0,0.0446428571428571,0.045045045045045,0.5,0.0612244897959183,0.0350877192982456,0.6,0.0285714285714285,0.0337078651685393,0.429,0.625,0.03,0.024390243902439,1.0,0.0196078431372549,0.0833333333333333,0.072,0.0093457943925233,0.0333333333333333,0.0333333333333333,0.024390243902439,0.04,0.0483383685800604,21.7,0.69,0.417,0.333,3.5,33.8,18.9,4.4,1.5,2.9,6.8,19.8,0.1,0.1,0.2,0.22,4.4,0.5,4.9,0.1,0.0112790736476791
Malaki Branham,SG,55.0,19.0,0.7926829268292683,0.3855421686746988,0.3660714285714285,0.4189189189189189,0.44,0.2448979591836734,0.3421052631578947,0.302,0.2761904761904762,0.3033707865168539,0.539,0.503,0.09,0.089430894308943,0.829,0.0784313725490196,0.2395833333333333,0.216,0.1775700934579439,0.1666666666666666,0.0333333333333333,0.2926829268292683,0.3399999999999999,0.3081570996978852,9.5,0.524,0.417,0.115,1.9,11.2,6.4,11.4,1.0,0.4,10.6,19.1,-0.4,0.2,-0.1,-0.004,-3.0,-2.1,-5.2,-1.3,0.5244101845363234
Jarrell Brantley,PF,56.0,26.0,0.0365853658536585,0.0,0.1785714285714285,0.1576576576576576,0.571,0.2040816326530612,0.2017543859649122,0.444,0.0952380952380952,0.0730337078651685,0.8,0.714,0.05,0.040650406504065,1.0,0.0588235294117647,0.1354166666666666,0.12,0.0747663551401869,0.0,0.1666666666666666,0.1219512195121951,0.16,0.1661631419939577,18.5,0.739,0.643,0.143,2.8,13.7,8.3,11.4,0.0,4.3,11.8,18.1,0.1,0.0,0.1,0.16,3.1,0.4,3.5,0.1,0.0156171788967864
Christian Braun,SG,57.0,21.0,0.9146341463414634,0.072289156626506,0.1696428571428571,0.1711711711711711,0.495,0.0816326530612244,0.1140350877192982,0.354,0.1333333333333333,0.1404494382022471,0.565,0.554,0.05,0.065040650406504,0.625,0.1176470588235294,0.1875,0.192,0.0747663551401869,0.1666666666666666,0.0666666666666666,0.1219512195121951,0.26,0.1419939577039275,10.3,0.568,0.332,0.221,4.8,12.6,8.8,6.4,1.7,1.3,9.9,13.0,0.7,1.2,1.9,0.079,-2.5,0.1,-2.4,-0.1,0.3986051323122101
Oshae Brissett,PF,59.0,24.0,0.7804878048780488,0.0240963855421686,0.1696428571428571,0.2207207207207207,0.386,0.1428571428571428,0.2105263157894736,0.31,0.1142857142857142,0.1404494382022471,0.457,0.461,0.16,0.1788617886178861,0.717,0.196078431372549,0.25,0.272,0.0654205607476635,0.1666666666666666,0.0666666666666666,0.1219512195121951,0.24,0.1842900302114803,10.6,0.52,0.486,0.455,6.4,16.0,11.2,5.4,1.4,1.0,8.2,16.1,0.4,0.7,1.1,0.05,-2.0,-1.2,-3.2,-0.3,0.3663029332265492
Greg Brown III,PF,63.0,21.0,0.1829268292682926,0.0,0.0625,0.081081081081081,0.393,0.0204081632653061,0.0350877192982456,0.143,0.0571428571428571,0.0730337078651685,0.476,0.411,0.03,0.065040650406504,0.417,0.0196078431372549,0.1145833333333333,0.096,0.0186915887850467,0.0999999999999999,0.0999999999999999,0.0975609756097561,0.16,0.0543806646525679,5.8,0.421,0.25,0.429,2.5,21.2,11.7,4.5,2.1,4.8,15.3,18.4,-0.3,0.1,-0.1,-0.074,-8.5,0.0,-8.5,-0.2,0.0323021990856608
Kendall Brown,SG,65.0,19.0,0.0609756097560975,0.0,0.0625,0.054054054054054,0.571,0.0,0.0175438596491228,0.0,0.0666666666666666,0.0561797752808988,0.667,0.571,0.02,0.024390243902439,0.5,0.0588235294117647,0.0729166666666666,0.08,0.0467289719626168,0.2333333333333333,0.0,0.073170731707317,0.3,0.0453172205438066,9.1,0.571,0.143,0.286,5.6,11.1,8.3,9.7,4.7,0.0,20.2,10.4,0.0,0.1,0.1,0.071,-7.0,4.0,-2.9,0.0,0.0149164080488537
Moses Brown,C,66.0,23.0,0.41463414634146345,0.0120481927710843,0.15625,0.12387387387387384,0.635,0.0,0.0,0.0,0.16666666666666666,0.15449438202247184,0.635,0.635,0.095,0.1666666666666666,0.458,0.3235294117647059,0.24479166666666663,0.31999999999999995,0.0093457943925233,0.0333333333333333,0.1333333333333333,0.0975609756097561,0.22,0.13444108761329304,22.45,0.607,0.0,0.75,22.2,31.2,26.75,2.1500000000000004,0.6,4.25,10.2,21.35,0.7,0.4,1.1,0.182,0.75,-1.25,-0.5,0.1,0.09922581506323616
Troy Brown Jr.,SF,68.0,23.0,0.9146341463414634,0.5421686746987951,0.2321428571428571,0.2747747747747747,0.43,0.2857142857142857,0.3245614035087719,0.381,0.1142857142857142,0.1348314606741573,0.505,0.545,0.04,0.040650406504065,0.872,0.1568627450980392,0.3333333333333333,0.3279999999999999,0.1214953271028037,0.2666666666666666,0.0666666666666666,0.1463414634146341,0.32,0.2145015105740181,9.6,0.561,0.604,0.084,3.7,13.7,8.9,6.6,1.5,0.7,9.2,12.1,1.0,2.0,2.9,0.075,-1.8,0.8,-1.0,0.5,0.6281910101111223
Thomas Bryant,C,70.0,25.0,0.45731707317073167,0.16265060240963855,0.2544642857142857,0.2274774774774774,0.554,0.0612244897959183,0.06578947368421051,0.4425,0.24285714285714285,0.2415730337078651,0.575,0.587,0.11499999999999995,0.12601626016260153,0.73,0.2549019607843137,0.34375,0.36,0.028037383177570048,0.0666666666666666,0.14999999999999997,0.1463414634146341,0.30999999999999994,0.21752265861027192,15.75,0.6145,0.14600000000000002,0.30300000000000005,9.95,23.5,16.9,2.8,0.6,2.7,9.899999999999999,18.2,1.35,0.7999999999999999,2.1999999999999997,0.1245,-1.6500000000000001,-1.35,-3.0,0.24999999999999997,0.21885740981746585
John Butler,C,76.0,20.0,0.2195121951219512,0.0120481927710843,0.0803571428571428,0.1261261261261261,0.321,0.0816326530612244,0.1578947368421052,0.229,0.0476190476190476,0.0505617977528089,0.5,0.396,0.02,0.016260162601626,0.75,0.0392156862745098,0.0729166666666666,0.072,0.0560747663551401,0.1333333333333333,0.1666666666666666,0.024390243902439,0.24,0.0725075528700906,5.7,0.411,0.66,0.075,1.5,7.3,4.4,6.5,1.5,3.6,1.8,11.0,-0.1,0.1,0.0,0.001,-5.4,-0.8,-6.2,-0.2,0.0769513131110888
Jamal Cain,PF,77.0,23.0,0.2073170731707317,0.0,0.1875,0.1666666666666666,0.561,0.0816326530612244,0.0964912280701754,0.35,0.1619047619047619,0.146067415730337,0.652,0.614,0.09,0.097560975609756,0.773,0.1568627450980392,0.21875,0.2319999999999999,0.0654205607476635,0.1999999999999999,0.0333333333333333,0.073170731707317,0.24,0.1631419939577039,16.5,0.647,0.303,0.333,7.1,18.7,12.7,7.6,2.3,0.4,7.3,15.1,0.5,0.3,0.8,0.169,-0.5,1.3,0.8,0.2,0.0838589114692828
Facundo Campazzo,PG,79.0,31.0,0.0853658536585365,0.0,0.0357142857142857,0.072072072072072,0.231,0.0816326530612244,0.1228070175438596,0.273,0.0,0.0168539325842696,0.0,0.346,0.01,0.024390243902439,0.5,0.0,0.03125,0.024,0.102803738317757,0.2666666666666666,0.0,0.0975609756097561,0.08,0.039274924471299,7.8,0.36,0.846,0.154,0.0,4.5,2.2,22.6,5.7,0.0,17.8,14.7,-0.1,0.1,0.0,-0.012,-4.8,3.6,-1.2,0.0,0.0188540728134281
Vlatko Čančar,PF,80.0,25.0,0.7195121951219512,0.108433734939759,0.1607142857142857,0.1711711711711711,0.476,0.1428571428571428,0.1666666666666666,0.374,0.1047619047619047,0.1067415730337078,0.58,0.57,0.06,0.056910569105691,0.927,0.0784313725490196,0.1770833333333333,0.168,0.1214953271028037,0.1333333333333333,0.0666666666666666,0.1463414634146341,0.2799999999999999,0.1510574018126888,11.0,0.606,0.507,0.181,3.2,13.1,8.3,11.5,1.2,1.4,13.1,13.8,0.9,0.8,1.7,0.093,-1.7,-0.1,-1.8,0.0,0.3009310241265392
Vernon Carey Jr.,C,82.0,21.0,0.1219512195121951,0.0,0.0178571428571428,0.0315315315315315,0.25,0.0,0.0,0.0,0.019047619047619,0.0393258426966292,0.25,0.25,0.02,0.016260162601626,1.0,0.0588235294117647,0.0729166666666666,0.08,0.02803738317757,0.0666666666666666,0.0666666666666666,0.048780487804878,0.1,0.0151057401812688,10.8,0.338,0.0,0.25,12.4,30.6,21.8,13.3,3.5,6.0,18.4,16.9,-0.1,0.1,0.0,0.014,-7.1,2.1,-5.0,0.0,0.0095104615076584
Jevon Carter,PG,83.0,27.0,0.975609756097561,0.4698795180722891,0.2678571428571428,0.3153153153153153,0.423,0.3673469387755101,0.3684210526315789,0.421,0.1142857142857142,0.1573033707865168,0.425,0.549,0.04,0.040650406504065,0.816,0.0784313725490196,0.21875,0.2,0.2242990654205607,0.2666666666666666,0.1333333333333333,0.2439024390243902,0.4,0.2416918429003021,10.9,0.56,0.596,0.067,2.1,9.3,5.8,14.5,1.7,1.3,11.8,15.3,1.2,2.3,3.5,0.092,-1.9,1.2,-0.6,0.6,0.6107718490339373
Michael Carter-Williams,PG,85.0,31.0,0.0365853658536585,0.0,0.1339285714285714,0.1576576576576576,0.429,0.0612244897959183,0.0701754385964912,0.333,0.1238095238095238,0.1573033707865168,0.455,0.464,0.1,0.1463414634146341,0.571,0.0588235294117647,0.1041666666666666,0.104,0.1682242990654205,0.0999999999999999,0.0999999999999999,0.2439024390243902,0.26,0.1299093655589124,9.0,0.498,0.214,0.5,2.6,10.3,6.4,22.6,1.1,2.2,19.0,20.6,0.0,0.0,0.0,-0.003,-5.1,-1.2,-6.3,0.0,0.0176861214002068
