Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
Wayne Ellington,SG,122.0,29.0,0.7530864197530864,0.1585365853658536,0.3592233009708738,0.375,0.416,0.5853658536585367,0.64,0.378,0.134020618556701,0.1354166666666666,0.509,0.55,0.0652173913043478,0.0642201834862385,0.86,0.0697674418604651,0.174757281553398,0.1489361702127659,0.0982142857142857,0.3,0.0166666666666666,0.087719298245614,0.25,0.3322784810126582,12.6,0.565,0.71,0.077,1.3,8.5,4.9,7.1,1.2,0.2,5.0,17.9,2.1,1.2,3.3,0.105,0.8,-0.9,-0.1,0.7,0.4937078360145304,0.537,-0.13
Monta Ellis,SG,123.0,31.0,0.9012345679012346,0.4024390243902439,0.3203883495145631,0.3125,0.443,0.1463414634146341,0.18,0.319,0.288659793814433,0.296875,0.483,0.482,0.1413043478260869,0.1559633027522935,0.727,0.0697674418604651,0.2427184466019417,0.1985815602836879,0.2857142857142857,0.55,0.0666666666666666,0.3157894736842105,0.4545454545454545,0.2689873417721519,9.9,0.514,0.242,0.23,1.1,10.3,5.7,17.2,2.0,1.2,18.0,16.8,-0.7,1.7,1.1,0.026,-3.1,0.2,-2.9,-0.5,0.6561364815775818,0.427,-2.91
James Ennis III,SF,125.0,26.0,0.7777777777777778,0.3414634146341463,0.2233009708737863,0.2083333333333333,0.455,0.1951219512195122,0.21,0.372,0.1546391752577319,0.1510416666666666,0.516,0.534,0.1413043478260869,0.1559633027522935,0.782,0.2558139534883721,0.2912621359223301,0.2836879432624113,0.0892857142857142,0.35,0.0499999999999999,0.1578947368421052,0.5909090909090908,0.2120253164556962,10.6,0.581,0.427,0.343,5.1,14.9,9.9,6.5,1.6,1.2,13.8,13.0,1.4,1.7,3.1,0.101,-1.9,0.7,-1.2,0.3,0.4938051375194603,0.622,3.6
Tyler Ennis,PG,126.0,22.0,0.2592592592592592,0.024390243902439,0.2912621359223301,0.2708333333333333,0.451,0.2439024390243902,0.25,0.389,0.2061855670103093,0.2135416666666666,0.489,0.524,0.0978260869565217,0.091743119266055,0.864,0.0465116279069767,0.0970873786407767,0.0851063829787234,0.2142857142857143,0.45,0.0166666666666666,0.175438596491228,0.2954545454545454,0.2436708860759493,14.3,0.553,0.375,0.153,1.3,6.1,3.6,20.3,2.4,0.4,12.0,19.0,0.5,0.1,0.6,0.077,-0.5,-0.4,-0.8,0.1,0.1322651790347691,0.524,0.43
Tyreke Evans,SF,127.0,27.0,0.23456790123456783,0.0365853658536585,0.37378640776699024,0.39375,0.40700000000000003,0.2804878048780488,0.30499999999999994,0.369,0.2783505154639176,0.33333333333333337,0.42300000000000004,0.4665,0.1847826086956522,0.21100917431192662,0.741,0.08139534883720925,0.3009708737864077,0.24468085106382975,0.26339285714285715,0.45,0.04999999999999995,0.27192982456140347,0.34090909090909083,0.3338607594936708,15.350000000000001,0.5035000000000001,0.322,0.247,1.9500000000000002,16.95,9.5,24.45,2.15,1.1,12.8,26.6,-0.05,0.5,0.35,0.0435,0.04999999999999999,0.4,0.45,0.2,0.1337247016087182,0.5485,1.9649999999999999
Dante Exum,PG,128.0,21.0,0.8024691358024691,0.3170731707317073,0.2233009708737863,0.2291666666666666,0.427,0.1707317073170731,0.2299999999999999,0.295,0.1752577319587629,0.1666666666666666,0.519,0.488,0.0978260869565217,0.1009174311926605,0.795,0.1162790697674418,0.145631067961165,0.1418439716312056,0.1517857142857143,0.15,0.0333333333333333,0.2105263157894736,0.5,0.1962025316455696,8.5,0.521,0.41,0.201,2.9,9.3,6.2,14.1,0.9,0.8,16.8,18.1,-0.1,1.3,1.2,0.046,-3.2,-0.1,-3.3,-0.4,0.4036715101193565,0.451,-1.03
Derrick Favors,PF,131.0,25.0,0.6049382716049383,0.4756097560975609,0.3980582524271844,0.3458333333333334,0.487,0.024390243902439,0.02,0.3,0.4123711340206186,0.421875,0.491,0.49,0.1413043478260869,0.2018348623853211,0.615,0.4186046511627907,0.4174757281553398,0.4326241134751772,0.0982142857142857,0.45,0.1333333333333333,0.2105263157894736,0.4772727272727272,0.300632911392405,15.8,0.512,0.024,0.261,9.2,20.2,14.9,7.9,2.0,2.7,11.4,20.7,0.5,2.2,2.7,0.109,-1.2,1.2,-0.1,0.6,0.3917034250129735,0.451,-1.03
Kay Felder,PG,132.0,21.0,0.5061728395061729,0.0,0.145631067961165,0.1583333333333333,0.392,0.048780487804878,0.05,0.318,0.134020618556701,0.1666666666666666,0.404,0.415,0.0869565217391304,0.110091743119266,0.714,0.0232558139534883,0.087378640776699,0.0709219858156028,0.125,0.2,0.0333333333333333,0.1228070175438596,0.2045454545454545,0.1265822784810126,11.4,0.462,0.139,0.31,0.9,10.5,5.9,22.7,2.3,1.5,14.3,24.2,-0.3,0.4,0.1,0.008,-3.1,0.7,-2.4,0.0,0.1275298391281785,0.622,5.23
Cristiano Felício,C,133.0,24.0,0.8024691358024691,0.0,0.1844660194174757,0.1374999999999999,0.579,0.0,0.0,0.0,0.1958762886597938,0.171875,0.579,0.579,0.0978260869565217,0.128440366972477,0.645,0.4418604651162791,0.2718446601941747,0.3333333333333333,0.0535714285714285,0.2,0.0499999999999999,0.087719298245614,0.3863636363636363,0.1518987341772151,15.3,0.603,0.0,0.421,12.8,19.5,16.1,5.7,1.2,1.3,11.2,12.4,2.1,1.3,3.4,0.158,-0.6,-0.1,-0.7,0.3,0.3417877529839128,0.488,1.37
Raymond Felton,PG,134.0,32.0,0.9753086419753086,0.1341463414634146,0.2718446601941747,0.2666666666666666,0.43,0.1463414634146341,0.18,0.319,0.2268041237113402,0.2395833333333333,0.473,0.475,0.0652173913043478,0.073394495412844,0.781,0.0930232558139535,0.2233009708737863,0.1914893617021277,0.2142857142857143,0.4,0.0499999999999999,0.175438596491228,0.3636363636363636,0.2120253164556962,10.9,0.496,0.28,0.125,2.2,11.9,7.2,16.3,1.9,1.1,13.3,16.5,0.2,1.8,1.9,0.055,-2.0,0.7,-1.3,0.3,0.5576349247535028,0.537,0.31
Yogi Ferrell,PG,135.0,23.0,0.1111111111111111,0.0,0.174757281553398,0.2041666666666667,0.367,0.1951219512195122,0.27,0.296,0.1030927835051546,0.1145833333333333,0.455,0.449,0.108695652173913,0.146788990825688,0.625,0.0930232558139535,0.0776699029126213,0.0851063829787234,0.1517857142857143,0.1,0.0333333333333333,0.2456140350877192,0.25,0.170886075949367,6.5,0.482,0.551,0.327,2.8,5.5,4.2,16.9,0.6,1.0,20.0,19.9,-0.2,0.0,-0.2,-0.05,-4.1,-3.3,-7.5,-0.2,0.0532239231966787,0.549,1.03
Dorian Finney-Smith,PF,136.0,23.0,0.9876543209876544,0.4268292682926829,0.145631067961165,0.1708333333333333,0.372,0.1707317073170731,0.24,0.293,0.0824742268041237,0.09375,0.479,0.456,0.0652173913043478,0.073394495412844,0.754,0.1627906976744186,0.203883495145631,0.1914893617021277,0.0714285714285714,0.3,0.0499999999999999,0.1052631578947368,0.3409090909090909,0.1360759493670885,7.7,0.486,0.574,0.183,3.7,12.4,7.9,6.0,1.6,1.4,11.1,11.6,-0.1,1.5,1.4,0.041,-3.3,0.6,-2.6,-0.3,0.5384989621172808,0.463,-0.14
