Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,W/L%,SRS
Jalen Smith,PF,512.0,21.0,0.3024691358024691,0.048780487804878,0.3201754385964912,0.3302752293577981,0.49550000000000005,0.18888888888888886,0.21794871794871795,0.302,0.2947368421052631,0.2540983606557377,0.591,0.548,0.1614583333333333,0.173728813559322,0.7645,0.43478260869565216,0.38181818181818183,0.4217687074829932,0.04629629629629625,0.12,0.2857142857142857,0.17708333333333331,0.38,0.31699346405228757,18.05,0.5875,0.3375,0.3075,12.600000000000001,24.25,18.4,3.5999999999999996,0.8,3.95,9.95,20.3,0.8500000000000001,0.55,1.4,0.14350000000000002,0.5,-1.3,-0.7499999999999999,0.2,0.16608355272273795,0.488,-0.41500000000000004
Xavier Sneed,SF,513.0,24.0,0.0432098765432098,0.0,0.0131578947368421,0.048165137614678846,0.125,0.0111111111111111,0.08119658119658116,0.0835,0.0052631578947368,0.0081967213114754,0.25,0.1565,0.0,0.0,0.0,0.0652173913043478,0.04090909090909085,0.054421768707482956,0.0046296296296296,0.0,0.0,0.0,0.1,0.011437908496732,-2.3499999999999996,0.1565,0.875,0.0,8.25,11.850000000000001,10.1,2.05,0.0,0.0,0.0,10.7,0.0,0.0,0.0,-0.088,-9.7,-4.4,-14.049999999999999,0.0,0.00751697381183315,0.5365,1.2850000000000001
Tony Snell,SG,514.0,30.0,0.31481481481481477,0.07317073170731705,0.13596491228070173,0.17201834862385315,0.4085,0.2222222222222222,0.23504273504273498,0.358,0.0578947368421052,0.05464480874316935,0.558,0.5415,0.0104166666666666,0.0084745762711864,1.0,0.0652173913043478,0.14999999999999997,0.13605442176870747,0.0462962962962962,0.14,0.05357142857142855,0.0833333333333333,0.2899999999999999,0.13888888888888884,6.9,0.5469999999999999,0.7444999999999999,0.0225,2.05,11.649999999999999,6.7,4.5,1.0499999999999998,1.0,9.899999999999999,10.75,0.1,0.15000000000000002,0.2,0.0315,-3.05,-0.8,-3.8,-0.2,0.14755092143549947,0.457,-1.165
Jaden Springer,SG,515.0,19.0,0.0123456790123456,0.0,0.043859649122807,0.0229357798165137,1.0,0.0,0.0,0.0,0.0526315789473684,0.0273224043715847,1.0,1.0,0.0,0.0,0.0,0.108695652173913,0.0454545454545454,0.0680272108843537,0.0,0.0,0.3571428571428571,0.1041666666666666,0.0,0.0326797385620915,26.4,1.0,0.0,0.0,18.9,18.3,18.6,0.0,0.0,30.0,50.0,15.0,0.0,0.0,0.0,0.138,8.3,8.7,17.1,0.0,0.0024248302618816,0.659,4.37
Cassius Stanley,SG,516.0,22.0,0.0987654320987654,0.0121951219512195,0.1842105263157894,0.2339449541284403,0.413,0.0888888888888888,0.1623931623931624,0.235,0.1789473684210526,0.174863387978142,0.517,0.457,0.1145833333333333,0.0932203389830508,1.0,0.1304347826086956,0.1454545454545454,0.1428571428571428,0.037037037037037,0.24,0.0714285714285714,0.1458333333333333,0.38,0.1895424836601307,8.0,0.516,0.37,0.217,3.3,10.3,6.6,3.9,1.6,1.2,10.6,15.6,0.0,0.1,0.1,0.021,-4.9,-1.0,-5.8,-0.2,0.0589580157960371,0.207,-7.73
Nik Stauskas,SG,517.0,28.0,0.03703703703703695,0.0,0.0789473684210526,0.11467889908256874,0.354,0.1444444444444444,0.12820512820512814,0.4165,0.0263157894736842,0.0546448087431694,0.125,0.5,0.08854166666666666,0.09745762711864406,0.625,0.0543478260869565,0.04545454545454545,0.0510204081632653,0.03240740740740735,0.0,0.0,0.0208333333333333,0.05,0.10947712418300651,9.65,0.5365,0.75,0.4165,2.4,4.65,3.55,7.7,0.0,0.0,6.35,20.6,0.05,0.0,0.05,0.058499999999999996,-1.2,-3.05,-4.3,0.0,0.00857350699736725,0.616,3.125
Lance Stephenson,PG,518.0,31.0,0.4814814814814814,0.0121951219512195,0.3157894736842105,0.3577981651376146,0.458,0.1555555555555555,0.188034188034188,0.31,0.3052631578947368,0.3060109289617486,0.516,0.502,0.1666666666666666,0.1694915254237288,0.795,0.0652173913043478,0.2272727272727272,0.1904761904761904,0.3611111111111111,0.24,0.0357142857142857,0.3541666666666667,0.44,0.303921568627451,14.5,0.542,0.281,0.252,1.6,15.4,8.4,31.2,1.6,0.5,16.5,23.7,0.5,0.3,0.8,0.055,-1.1,-1.7,-2.8,-0.1,0.2634751281695995,0.427,-2.91
Lance Stephenson,SG,518.0,31.0,0.0617283950617283,0.0,0.0701754385964912,0.1009174311926605,0.385,0.0,0.0427350427350427,0.0,0.0842105263157894,0.0928961748633879,0.5,0.385,0.0208333333333333,0.0254237288135593,0.5,0.0434782608695652,0.209090909090909,0.1700680272108843,0.1666666666666666,0.0,0.0,0.1458333333333333,0.26,0.0588235294117647,4.5,0.396,0.231,0.154,1.6,21.8,11.7,19.9,0.0,0.0,22.4,11.2,-0.1,0.0,0.0,-0.023,-6.8,-0.8,-7.7,-0.1,0.0276084245531384,0.5,0.32
Lamar Stevens,PF,519.0,24.0,0.7654320987654321,0.1585365853658536,0.219298245614035,0.2339449541284403,0.489,0.0666666666666666,0.0854700854700854,0.277,0.231578947368421,0.2185792349726776,0.543,0.517,0.0833333333333333,0.1016949152542372,0.707,0.1521739130434782,0.1727272727272727,0.1768707482993197,0.0648148148148148,0.2,0.1071428571428571,0.1458333333333333,0.3399999999999999,0.1993464052287581,11.3,0.544,0.204,0.235,5.2,12.5,8.9,6.5,1.5,1.6,10.4,17.1,0.4,1.2,1.6,0.078,-3.2,0.3,-2.9,-0.2,0.3564846889289177,0.622,5.23
Isaiah Stewart,C,520.0,20.0,0.8641975308641975,0.8658536585365854,0.3070175438596491,0.3165137614678899,0.51,0.0444444444444444,0.0512820512820512,0.326,0.3473684210526315,0.3442622950819672,0.529,0.526,0.1041666666666666,0.1271186440677966,0.718,0.6956521739130436,0.5,0.5918367346938775,0.1111111111111111,0.12,0.3928571428571429,0.25,0.6,0.2712418300653595,14.0,0.55,0.094,0.21,12.8,24.5,18.4,6.9,0.6,3.9,13.7,14.6,1.6,1.8,3.4,0.091,-2.5,-0.8,-3.3,-0.6,0.6372453928225024,0.207,-7.73
Max Strus,SF,521.0,25.0,0.8271604938271605,0.1951219512195122,0.3245614035087719,0.3807339449541284,0.441,0.6000000000000001,0.5555555555555556,0.41,0.1052631578947368,0.0983606557377049,0.557,0.602,0.0625,0.0677966101694915,0.792,0.0869565217391304,0.2363636363636363,0.2040816326530612,0.1296296296296296,0.16,0.0714285714285714,0.1666666666666666,0.3399999999999999,0.3464052287581699,12.7,0.614,0.784,0.094,1.7,12.5,7.2,8.8,0.9,1.1,8.8,18.1,2.0,1.7,3.6,0.11,1.4,-0.4,0.9,1.2,0.5571220728834695,0.537,-0.13
Jalen Suggs,PG,522.0,20.0,0.5802469135802469,0.5487804878048781,0.3596491228070175,0.5229357798165137,0.361,0.2,0.3504273504273504,0.214,0.3473684210526315,0.3989071038251366,0.443,0.4,0.2708333333333333,0.2881355932203389,0.773,0.108695652173913,0.2727272727272727,0.2448979591836735,0.4074074074074074,0.48,0.1428571428571428,0.625,0.6,0.3856209150326797,8.6,0.455,0.358,0.297,2.1,11.7,6.9,24.9,2.2,1.3,18.7,25.3,-3.0,1.3,-1.6,-0.06,-5.3,-0.2,-5.6,-1.2,0.461479839268394,0.415,-2.39
Craig Sword,SG,523.0,28.0,0.0246913580246913,0.0,0.087719298245614,0.0596330275229357,0.75,0.0,0.0256410256410256,0.0,0.1052631578947368,0.0546448087431694,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0277777777777777,0.52,0.0,0.0625,0.4599999999999999,0.065359477124183,14.2,0.75,0.25,0.0,0.0,0.0,0.0,7.7,10.4,0.0,20.0,11.7,0.0,0.0,0.1,0.158,-8.6,10.0,1.4,0.0,0.0080712207288346,0.427,-1.06
Keifer Sykes,PG,524.0,28.0,0.382716049382716,0.1341463414634146,0.1929824561403509,0.2706422018348624,0.363,0.1777777777777777,0.2393162393162393,0.3,0.1368421052631579,0.1693989071038251,0.42,0.434,0.0520833333333333,0.0423728813559322,0.882,0.0652173913043478,0.109090909090909,0.0952380952380952,0.1759259259259259,0.16,0.0357142857142857,0.2083333333333333,0.32,0.1830065359477124,5.9,0.456,0.474,0.089,1.5,7.4,4.4,14.9,1.0,0.6,14.3,17.4,-0.5,0.1,-0.5,-0.04,-4.4,-2.4,-6.9,-0.7,0.2015033947623666,0.427,-2.91
